session,group,ppt,selection,selected,continuation,continue,L1_bsl,self_rating,bsl_years,nback_lett,nback_spat,nback_comb,corsi_bspan,corsi_score,corsi_corr,corsi_mspan,kirk_ceil,kirk_raw,kirk_acc,kbit_ceil,kbit_raw,kbit_acc,dspan_mem,dspan_corr,dspan_time,mr2d_acc,mr2d_rt,mr3d_acc,mr3d_rt,bis_tot,bis_att,bis_mot,bis_nplan,mlat_raw,mlat_acc,summ,copy_sign,bsl_srt,town_map,terp_b2e,terp_e2b,grade_bsl,grade_terp
1,first,S70,selected,1,withdrew,1,0,4,10,0.68,0.76,0.72,5,35,7,4.5,38,30,0.79,38,33,0.79,na,na,na,0.73,4052,na,na,na,na,na,na,na,na,na,84,na,na,na,na,na,na
1,first,S41,selected,1,withdrew,0,0,1,0,0.75,0.73,0.74,8,88,11,6.5,39,38,0.97,45,42,0.9,na,na,na,0.91,2580,na,na,na,na,na,na,na,na,na,74.5,na,na,na,na,na,na
1,first,S63,selected,1,withdrew,0,0,2,2,0.67,0.75,0.71,6,54,9,5.5,33,30,0.91,40,40,1,na,na,na,0.93,3752,na,na,na,na,na,na,na,na,na,62,na,na,na,na,na,na
1,first,S90,selected,1,withdrew,0,0,1,0,0.73,0.71,0.72,6,60,10,6,40,30,0.75,43,39,0.86,na,na,na,0.93,2965,na,na,na,na,na,na,na,na,na,69.5,na,na,na,na,na,na
1,first,S60,selected,1,withdrew,0,0,1,0,0.75,0.73,0.74,8,80,10,6,38,33,0.87,45,45,1,na,na,na,0.95,2507,na,na,na,na,na,na,na,na,na,74,na,na,na,na,na,na
1,first,S96,selected,1,continuing,1,1,5,14,0.68,0.71,0.7,6,60,10,6,42,31,0.74,46,39,0.78,na,na,na,0.88,3057,na,na,na,na,na,na,na,na,na,tbc,na,na,na,na,na,na
1,first,S65,selected,1,continuing,0,0,2,3,0.73,0.7,0.71,6,48,8,5,42,31,0.74,41,40,0.96,na,na,na,0.91,2376,na,na,na,na,na,na,na,na,na,tbc,na,na,na,na,na,na
1,first,S71,selected,1,withdrew,0,0,1,0,0.62,0.71,0.67,8,72,9,5.5,42,30,0.71,45,39,0.81,na,na,na,0.91,1934,na,na,na,na,na,na,na,na,na,tbc,na,na,na,na,na,na
1,first,S33,selected,1,continuing,1,1,6,18,0.76,0.76,0.76,6,54,9,5.5,31,27,0.87,37,37,1,na,na,na,0.98,8256,na,na,na,na,na,na,na,na,na,tbc,na,na,na,na,na,na
1,first,S25,selected,1,withdrew,0,0,1,0,0.65,0.6,0.63,5,40,8,5,42,28,0.67,45,40,0.84,na,na,na,0.94,2430,na,na,na,na,na,na,na,na,na,tbc,na,na,na,na,na,na
1,first,S19,selected,1,withdrew,0,0,3,0,0.73,0.79,0.76,9,126,14,8,38,31,0.82,42,41,0.96,na,na,na,0.95,3696,na,na,na,na,na,na,na,na,na,tbc,na,na,na,na,na,na
1,second,S77,selected,1,continuing,1,0,3,3,0.67,0.67,0.67,6,54,9,5.5,36,31,0.86,42,40,0.95,8,0.86,4.78,na,na,0.92,2417,na,na,na,na,35,0.78,tbc,tbc,na,na,na,na,na,na
1,second,S98,selected,1,continuing,1,0,2,1,0.65,0.7,0.67,5,40,8,5,30,25,0.83,36,34,0.94,8,0.71,5.34,na,na,0.59,4285,na,na,na,na,17,0.38,tbc,tbc,na,na,na,na,na,na
1,second,S31,selected,1,continuing,1,0,1,1,0.7,0.71,0.71,8,80,10,6,42,39,0.93,41,39,0.95,10,0.88,5.88,na,na,0.58,4085,na,na,na,na,40,0.89,tbc,tbc,na,na,na,na,na,na
1,second,S52,selected,1,continuing,1,0,4,6,0.71,0.76,0.74,6,54,9,5.5,37,28,0.76,43,36,0.84,6,0.7,3.99,na,na,0.86,3253,na,na,na,na,23,0.51,80,83.25,na,na,na,na,na,na
1,second,S39,selected,1,continuing,1,0,2,0,0.73,0.73,0.73,6,48,8,5,36,32,0.89,37,36,0.97,7,0.75,4.35,na,na,0.9,2442,na,na,na,na,41,0.91,tbc,tbc,na,na,na,na,na,na
1,second,S84,selected,1,continuing,1,0,1,0,0.71,0.71,0.71,6,54,9,5.5,42,39,0.93,45,40,0.89,na,na,na,na,na,0.7,2891,na,na,na,na,43,0.96,90,na,na,na,na,na,na,na
1,second,S17,selected,1,continuing,1,0,4,4,0.62,0.52,0.57,5,40,8,5,30,19,0.63,20,16,0.8,6,0.5,3.38,na,na,0.4,4121,na,na,na,na,31,0.69,tbc,tbc,na,na,na,na,na,na
1,second,S03,selected,1,continuing,1,0,1,0,0.73,0.75,0.74,5,30,6,4,41,30,0.73,45,39,0.87,5,0.63,2.77,na,na,0.75,3527,na,na,na,na,43,0.96,90,70,na,na,na,na,na,na
1,second,S13,selected,1,continuing,1,0,2,1,0.75,0.76,0.75,8,80,10,6,36,20,0.56,46,41,0.89,na,na,na,na,na,0.6,3170,na,na,na,na,28,0.62,60,72,na,na,na,na,na,na
1,second,S07,selected,1,continuing,1,0,1,0,0.75,0.7,0.72,5,40,8,5,39,33,0.85,44,39,0.89,9,0.75,6.79,na,na,0.15,3258,na,na,na,na,45,1,tbc,tbc,na,na,na,na,na,na
1,second,S89,selected,1,continuing,1,0,1,0,0.71,0.71,0.71,5,35,7,4.5,36,30,0.83,41,41,1,7,0.67,4.83,na,na,0.51,3862,na,na,na,na,39,0.87,87.5,na,na,na,na,na,na,na
1,second,S16,selected,1,continuing,1,0,1,0,0.78,0.73,0.75,5,40,8,5,42,34,0.81,43,38,0.88,na,na,na,na,na,0.68,3398,na,na,na,na,44,0.98,75,na,na,na,na,na,na,na
1,second,S97,selected,1,continuing,1,0,2,1,0.75,0.73,0.74,5,40,8,5,42,39,0.93,46,42,0.91,7,0.67,4.19,na,na,0.88,2656,na,na,na,na,41,0.91,85,89.5,na,na,na,na,na,na
1,second,S85,selected,1,withdrew,0,0,4,4,0.67,0.68,0.67,5,35,7,4.5,38,36,0.95,33,32,0.97,7,0.75,4.47,na,na,0.46,3832,na,na,na,na,44,0.98,tbc,na,na,na,na,na,na,na
1,second,S68,selected,1,continuing,1,0,3,2,0.71,0.7,0.71,6,54,9,5.5,40,34,0.85,46,42,0.91,9,0.69,5.15,na,na,0.81,3353,na,na,na,na,36,0.8,tbc,tbc,na,na,na,na,na,na
1,second,S10,selected,1,withdrew,0,1,4,18,0.75,0.67,0.71,6,60,10,6,33,28,0.85,43,39,0.91,6,0.8,3.61,na,na,0.84,3025,na,na,na,na,37,0.82,tbc,tbc,na,na,na,na,na,na
1,second,S73,selected,1,continuing,1,0,4,1,0.68,0.75,0.71,6,48,8,5,31,26,0.84,44,42,0.95,6,0.8,3.31,na,na,0.51,3338,na,na,na,na,43,0.96,tbc,na,na,na,na,na,na,na
1,second,S49,selected,1,continuing,1,0,3,8,0.71,0.79,0.75,6,54,9,5.5,42,35,0.83,39,36,0.92,10,0.81,6.28,na,na,0.65,3016,na,na,na,na,40,0.89,85,85,na,na,na,na,na,na
1,second,S42,selected,1,continuing,1,0,3,2,0.75,0.75,0.75,5,40,8,5,42,32,0.76,38,31,0.82,6,0.6,3.43,na,na,0.5,2002,na,na,na,na,13,0.29,tbc,tbc,na,na,na,na,na,na
1,second,S18,selected,1,continuing,1,0,3,2,0.76,0.75,0.75,6,60,10,6,42,31,0.74,46,43,0.93,8,0.71,4.52,na,na,0.45,3025,na,na,na,na,25,0.56,70,89,na,na,na,na,na,na
1,second,S92,selected,1,withdrew,0,0,3,12,0.76,0.68,0.72,6,54,9,5.5,37,32,0.86,40,37,0.93,5,0.75,2.36,na,na,0.89,3279,na,na,na,na,34,0.76,tbc,tbc,na,na,na,na,na,na
1,second,S79,selected,1,withdrew,0,0,3,12,0.7,0.76,0.73,6,54,9,5.5,42,20,0.48,39,37,0.95,6,0.7,4.25,na,na,0.49,2530,na,na,na,na,38,0.84,tbc,tbc,na,na,na,na,na,na
2,first,S70,selected,1,withdrew,1,0,4,10,0.73,0.73,0.73,5,40,8,5,42,30,0.71,46,36,0.69,na,na,na,0.88,3193,na,na,na,na,na,na,na,na,na,tbc,na,na,na,na,68,na
2,first,S41,selected,1,withdrew,0,0,1,0,0.68,0.68,0.68,6,60,10,6,42,34,0.81,42,40,0.93,na,na,na,0.97,2036,na,na,na,na,na,na,na,na,na,tbc,na,na,na,na,63,na
2,first,S63,selected,1,withdrew,0,0,2,2,0.75,0.73,0.74,6,60,10,6,39,29,0.74,43,41,0.93,na,na,na,0.89,2808,na,na,na,na,na,na,na,na,na,tbc,na,na,na,na,60,na
2,first,S90,selected,1,withdrew,0,0,1,0,0.79,0.75,0.77,6,60,10,6,38,28,0.74,43,42,0.97,na,na,na,0.91,2004,na,na,na,na,na,na,na,na,na,tbc,na,na,na,na,64,na
2,first,S60,selected,1,withdrew,0,0,1,0,0.75,0.78,0.76,8,80,10,6,38,30,0.79,46,46,1,na,na,na,0.97,2351,na,na,na,na,na,na,na,na,na,tbc,na,na,na,na,63,na
2,first,S96,selected,1,continuing,1,1,5,14,0.68,0.7,0.69,8,96,12,7,42,29,0.69,46,39,0.78,na,na,na,0.8,2122,na,na,na,na,na,na,na,na,na,tbc,na,na,na,na,68,na
2,first,S65,selected,1,continuing,0,0,2,3,0.71,0.71,0.71,6,48,8,5,42,34,0.81,42,38,0.86,na,na,na,0.76,1589,na,na,na,na,na,na,na,na,na,tbc,na,na,na,na,74,na
2,first,S71,selected,1,withdrew,0,0,1,0,0.68,0.76,0.72,8,80,10,6,42,33,0.79,46,40,0.81,na,na,na,0.92,1578,na,na,na,na,na,na,na,na,na,tbc,na,na,na,na,60,na
2,first,S33,selected,1,continuing,1,1,6,18,0.68,0.7,0.69,5,40,8,5,32,28,0.88,39,38,0.96,na,na,na,0.96,5288,na,na,na,na,na,na,na,na,na,tbc,na,na,na,na,74,na
2,first,S25,selected,1,withdrew,0,0,1,0,0.65,0.75,0.7,6,54,9,5.5,42,31,0.74,46,40,0.81,na,na,na,0.98,1921,na,na,na,na,na,na,na,na,na,tbc,na,na,na,na,58,na
2,first,S19,selected,1,withdrew,0,0,3,0,0.76,0.76,0.76,8,96,12,7,42,35,0.83,46,44,0.94,na,na,na,0.96,2528,na,na,na,na,na,na,na,na,na,tbc,na,na,na,na,64,na
2,second,S77,selected,1,continuing,1,0,3,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,75,na
2,second,S98,selected,1,continuing,1,0,2,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,59,na
2,second,S31,selected,1,continuing,1,0,1,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,70,na
2,second,S52,selected,1,continuing,1,0,4,6,0.59,0.71,0.65,6,60,10,6,na,na,na,na,na,na,na,na,na,na,na,0.75,2398,48,10,15,23,na,na,tbc,na,9,tbc,na,na,71,na
2,second,S39,selected,1,continuing,1,0,2,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,70,na
2,second,S84,selected,1,continuing,1,0,1,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,67,na
2,second,S17,selected,1,continuing,1,0,4,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,tbc,tbc,tbc,tbc,na,na,na,na,na,na,na,na,56,na
2,second,S03,selected,1,continuing,1,0,1,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,59,na
2,second,S13,selected,1,continuing,1,0,2,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,56,na
2,second,S07,selected,1,continuing,1,0,1,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,57,na
2,second,S89,selected,1,continuing,1,0,1,0,na,na,na,6,60,10,6,na,na,na,na,na,na,na,na,na,na,na,0.84,3013,64,15,17,32,na,na,tbc,na,9,tbc,na,na,59,na
2,second,S16,selected,1,continuing,1,0,1,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,69,na
2,second,S97,selected,1,continuing,1,0,2,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,78,84
2,second,S85,selected,1,withdrew,0,0,4,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2,second,S68,selected,1,continuing,1,0,3,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,54,59
2,second,S10,selected,1,withdrew,0,1,4,18,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2,second,S73,selected,1,continuing,1,0,4,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,79,81
2,second,S49,selected,1,continuing,1,0,3,8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,57,60
2,second,S42,selected,1,continuing,1,0,3,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,59,54
2,second,S18,selected,1,continuing,1,0,3,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,72,82
2,second,S92,selected,1,withdrew,0,0,3,12,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,48,46
2,second,S79,selected,1,withdrew,0,0,3,12,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,45,49
3,first,S70,selected,1,withdrew,1,0,4,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,60,54
3,first,S41,selected,1,withdrew,0,0,1,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
3,first,S63,selected,1,withdrew,0,0,2,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,52,51
3,first,S90,selected,1,withdrew,0,0,1,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,64,62
3,first,S60,selected,1,withdrew,0,0,1,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,58,52
3,first,S96,selected,1,continuing,1,1,5,14,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,70,60
3,first,S65,selected,1,continuing,0,0,2,3,0.75,0.71,0.73,6,48,8,5,42,33,0.79,42,36,0.86,7,0.83,4.25,0.86,1991,0.75,2713,73,19,26,28,na,na,na,na,19,tbc,na,na,72,72
