,nback_lett_1,nback_lett_2,nback_lett_3,nback_spat_1,nback_spat_2,nback_spat_3,nback_comb_1,nback_comb_2,nback_comb_3,corsi_bspan_1,corsi_bspan_2,corsi_bspan_3,corsi_score_1,corsi_score_2,corsi_score_3,corsi_corr_1,corsi_corr_2,corsi_corr_3,corsi_mspan_1,corsi_mspan_2,corsi_mspan_3,kirk_ceil_1,kirk_ceil_2,kirk_ceil_3,kirk_raw_1,kirk_raw_2,kirk_raw_3,kirk_acc_1,kirk_acc_2,kirk_acc_3,kbit_ceil_1,kbit_ceil_2,kbit_ceil_3,kbit_raw_1,kbit_raw_2,kbit_raw_3,kbit_acc_1,kbit_acc_2,kbit_acc_3,dspan_mem_1,dspan_mem_2,dspan_mem_3,dspan_corr_1,dspan_corr_2,dspan_corr_3,dspan_time_1,dspan_time_2,dspan_time_3,mr2d_acc_1,mr2d_acc_2,mr2d_acc_3,mr2d_rt_1,mr2d_rt_2,mr2d_rt_3,mr3d_acc_1,mr3d_acc_2,mr3d_acc_3,mr3d_rt_1,mr3d_rt_2,mr3d_rt_3,mlat_raw_1,mlat_raw_2,mlat_raw_3,mlat_acc_1,mlat_acc_2,mlat_acc_3,grade_bsl_1,grade_bsl_2,grade_bsl_3,grade_terp_1,grade_terp_2,grade_terp_3
kbit_ceil_1,0.399174233,-0.207436011,0.148908841,0.460748804,0.201068502,-0.282600769,0.525551247,-0.083273598,-0.157584187,0.318087195,0.68713006,0.338722194,0.288969761,0.65085884,0.467313437,0.269366988,0.583067752,0.526043558,0.269366988,0.583067752,0.526043558,0.49669761,0.501492219,-0.068667327,0.367719844,0.262828742,-0.205404568,0.099897452,-0.293681888,-0.422225983,1,0.52387894,0.694614174,0.910390376,0.455233899,0.340729475,0.011447866,0.019919359,-0.38128424,0.157321762,NA,-0.55287709,0.435445564,NA,-0.507810692,0.130654363,NA,-0.696061604,0.213292472,0.099087693,-0.007434734,-0.757911358,-0.758487668,-0.388594359,0.284506324,-1,0.061502647,-0.333392318,-1,-0.239759719,0.176581084,NA,NA,0.176854507,NA,NA,NA,0.197547892,0.331821941,NA,0.764196607,0.296570987
kbit_ceil_2,-0.570434267,0.061113233,-1,-0.203215415,0.617330288,1,-0.432196115,0.334894593,1,0.162274181,0.62654321,1,0.167726084,0.591806781,1,0.098486543,0.471942448,1,0.098486543,0.471942448,1,0.568549735,0.66029656,NA,0.031461945,0.19245009,1,-0.459615824,-0.578703704,1,0.52387894,1,1,0.089278305,0.299585985,1,-0.525873758,-0.467950705,1,NA,NA,1,NA,NA,1,NA,NA,1,-0.370882791,0.028786847,1,-0.616571487,-0.534840414,-1,NA,NA,1,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,-0.54493199,-0.150668071,NA,NA,-0.669105581
kbit_ceil_3,0.071614665,0.286142848,-0.312889131,-0.183189588,0.866025404,-0.224925868,-0.068560735,0.45392065,-0.380172377,0.162636023,0.826810631,0.266897752,0.20258772,0.82452977,0.372268223,0.163619363,0.736459694,0.417568864,0.163619363,0.736459694,0.417568864,-0.122621847,NA,0.4226879,-0.01490627,1,0.183563628,0.059587799,1,-0.274285038,0.694614174,1,1,0.525138439,1,0.727550227,-0.176942721,1,-0.217460791,-0.77551283,NA,-0.159450708,-0.484807403,NA,-0.104186964,-0.870758235,NA,-0.305005644,1,1,0.413981856,1,1,-0.413347662,0.35487562,-1,0.666876306,-0.201105201,-1,-0.234585448,-0.123305579,NA,NA,-0.121442673,NA,NA,NA,0.39203669,0.422923091,NA,0.995362999,0.125116429
kbit_raw_1,0.420454213,0.297906984,-0.416059756,0.503611825,0.326341018,-0.592465849,0.554558765,0.335841889,-0.678075102,0.409639604,0.547474775,0.561060507,0.374820841,0.479049541,0.558372552,0.331644941,0.396787188,0.471919654,0.331644941,0.396787188,0.471919654,0.331770402,0.047077098,0.110605514,0.380600724,0.313625024,-0.018242591,0.249656492,0.265140399,-0.217322523,0.910390376,0.089278305,0.525138439,1,0.814055678,0.402473942,0.398541794,0.669001857,-0.077460545,0.239595042,NA,-0.170379042,0.569919497,NA,0.309820603,0.208407107,NA,-0.173127137,0.667172015,0.288175534,0.298612868,-0.437181364,-0.419554699,-0.155436291,0.271920796,1,-0.007231987,-0.258173001,1,-0.032639414,0.283862041,NA,NA,0.284487904,NA,NA,NA,0.244942755,0.309198628,NA,0.71271892,0.291712532
kbit_raw_2,0.26628149,0.504496561,-1,0.106748032,0.65711144,1,0.230075968,0.644661559,1,0.658606612,0.633485784,1,0.675027913,0.612650821,1,0.658339982,0.572717388,1,0.658339982,0.572717388,1,-0.01462984,-0.081678296,NA,0.267943281,0.109722956,1,0.218831008,0.166855631,1,0.455233899,0.299585985,1,0.814055678,1,1,0.441699395,0.702158846,1,NA,NA,1,NA,NA,1,NA,NA,1,0.572389924,0.470832232,1,-0.298313971,-0.254912942,-1,NA,NA,1,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,-0.487483024,-0.296144156,NA,NA,-0.431141591
kbit_raw_3,0.003036359,0.565122889,-0.522008192,-0.146804396,0.977355555,-0.207538875,-0.064186991,0.704376068,-0.477052124,0.071447712,0.906216889,0.373589698,0.210906141,0.971665621,0.459543976,0.197371938,0.951329561,0.478790405,0.197371938,0.951329561,0.478790405,-0.079841649,NA,0.446394925,0.380466743,1,0.484731382,0.535235036,1,0.291506176,0.340729475,1,0.727550227,0.402473942,1,1,0.068016195,1,0.510855082,-0.559161425,NA,0.314104527,-0.380784429,NA,0.191434623,-0.575862724,NA,0.171079007,1,1,0.685480134,1,1,-0.044460834,0.503858781,1,0.601112538,-0.219065734,1,0.016785435,0.471905467,NA,NA,0.47089487,NA,NA,NA,0.283098844,0.103664373,NA,0.761560517,-0.138742971
kbit_acc_1,0.26942956,0.372016283,-0.565319639,0.264589366,0.09434218,-0.265644833,0.287616036,0.303895819,-0.492447286,0.199012259,-0.09239446,0.147469008,0.17646037,-0.118013931,0.027723347,0.126253176,-0.111227844,-0.099243234,0.126253176,-0.111227844,-0.099243234,-0.292270489,-0.552471923,0.17271232,0.132933352,0.048795004,0.173347721,0.410712328,0.67209886,0.197571949,0.011447866,-0.525873758,-0.176942721,0.398541794,0.441699395,0.068016195,1,0.790719577,0.323254371,0.28233867,NA,0.336987456,0.62522514,NA,0.735832846,0.290626541,NA,0.512379232,0.628449492,0.225220049,0.268658532,0.37081537,0.378746752,0.286187937,0.084531604,1,-0.095115793,0.083965194,1,0.293308578,0.381862829,NA,NA,0.38268482,NA,NA,NA,0.118320666,0.035429049,NA,0.204685595,0.158020797
kbit_acc_2,0.678677145,0.435209267,-1,0.264361592,0.152002459,1,0.548854381,0.358836665,1,0.485243597,0.11060653,1,0.502463822,0.123298105,1,0.542986857,0.181701472,1,0.542986857,0.181701472,1,-0.449383844,-0.581817078,NA,0.216824326,-0.060286195,1,0.548254288,0.581595876,1,0.019919359,-0.467950705,1,0.669001857,0.702158846,1,0.790719577,1,1,NA,NA,1,NA,NA,1,NA,NA,1,0.79746882,0.429369438,1,0.201029334,0.181048533,-1,NA,NA,1,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,-0.044182045,-0.174761503,NA,NA,0.073447894
kbit_acc_3,-0.064281893,0.726900461,-0.369415585,0.019979702,1,0.013109969,0.00408687,0.838627869,-0.193131937,-0.118847059,0.577350269,0.191130132,0.03110755,0.666666667,0.172853691,0.058336264,0.707106781,0.133530303,0.058336264,0.707106781,0.133530303,0.044430863,NA,0.108005697,0.553068218,1,0.458129846,0.676352404,1,0.757179218,-0.38128424,1,-0.217460791,-0.077460545,1,0.510855082,0.323254371,1,1,0.348965849,NA,0.698304195,0.156917662,NA,0.438331546,0.467571831,NA,0.689678365,1,1,0.491456607,1,1,0.533568337,0.163055552,1,0.014858631,0.015245639,1,0.327396537,0.790702135,NA,NA,0.787099461,NA,NA,NA,-0.096190437,-0.408893844,NA,-0.374976888,-0.340772207
dspan_mem_1,-0.085099773,NA,0.0985778,0.135773594,NA,-0.151261349,0.057849241,NA,0.022429946,0.383372231,NA,0.216520331,0.412678869,NA,0.093437773,0.362477834,NA,0.042120045,0.362477834,NA,0.042120045,0.289157321,NA,-0.681667971,0.497244606,NA,0.073922127,0.381559325,NA,0.769319684,0.157321762,NA,-0.77551283,0.239595042,NA,-0.559161425,0.28233867,NA,0.348965849,1,NA,0.846397659,0.480188111,NA,0.624538353,0.923643689,NA,0.694725266,NA,NA,-0.429831734,NA,NA,0.08349243,-0.204807308,1,-0.548278623,0.153182421,1,0.054141877,0.137212428,NA,NA,0.13646756,NA,NA,NA,0.128241536,0.227614276,NA,0.210228796,0.0648536
dspan_mem_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dspan_mem_3,-0.241435724,0.462067015,-0.412081692,0.194642857,0.944911183,0.023698575,0.05527708,0.61413236,-0.196509394,0.129618962,0.92717265,0.097641683,0.347856562,0.994134847,0.103030954,0.489005764,0.973328527,0.145574244,0.489005764,0.973328527,0.145574244,0.11533664,NA,0.49674953,0.572795444,1,0.709791059,0.708458473,1,0.775750089,-0.55287709,1,-0.159450708,-0.170379042,1,0.314104527,0.336987456,1,0.698304195,0.846397659,NA,1,0.613016651,NA,0.578832673,0.916088506,NA,0.89841588,1,1,0.462353657,1,1,0.296175933,0.192232013,NA,0.252129613,-0.231535522,NA,0.284458153,0.266684284,NA,NA,0.266833595,NA,NA,NA,0.226875969,0.014511936,NA,-1,0.017091137
dspan_corr_1,0.110912775,NA,-0.095939051,0.323853151,NA,0.150555278,0.269639855,NA,0.170376872,0.668501011,NA,-0.029903251,0.620140983,NA,-0.12971278,0.475399268,NA,-0.143973895,0.475399268,NA,-0.143973895,0.07897323,NA,-0.3587766,0.431723203,NA,0.240551204,0.525686194,NA,0.549335037,0.435445564,NA,-0.484807403,0.569919497,NA,-0.380784429,0.62522514,NA,0.156917662,0.480188111,NA,0.613016651,1,NA,0.088949355,0.411025458,NA,0.367030745,NA,NA,-0.370356254,NA,NA,-0.323245563,0.230987545,-1,-0.038300974,-0.081302849,-1,-0.38554888,0.36628131,NA,NA,0.366560878,NA,NA,NA,0.3492188,0.37552081,NA,0.124495118,0.581480944
dspan_corr_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dspan_corr_3,-0.172650627,0.99582078,-0.303664333,0.132090562,0.661143091,-0.358511661,0.004359153,0.963123137,-0.455561645,0.216701231,0.612266443,0.231000803,0.32331258,0.446516458,0.179373154,0.325701121,0.197334259,0.091839922,0.325701121,0.197334259,0.091839922,0.206163572,NA,0.389373719,0.363573704,1,0.382140518,0.383747089,1,0.309718788,-0.507810692,1,-0.104186964,0.309820603,1,0.191434623,0.735832846,1,0.438331546,0.624538353,NA,0.578832673,0.088949355,NA,1,0.612776384,NA,0.612208257,1,1,0.430503877,1,1,0.120520642,-0.116427798,1,0.066629389,-0.102023984,1,0.457976144,0.468850839,NA,NA,0.467176197,NA,NA,NA,0.051489127,-0.282166972,NA,-1,-0.266258124
dspan_time_1,-0.092363363,NA,0.012283684,0.168760159,NA,-0.165610961,0.067816982,NA,-0.034707733,0.191371116,NA,0.19973541,0.226088039,NA,0.075839533,0.213389001,NA,0.04637514,0.213389001,NA,0.04637514,0.235164127,NA,-0.790550542,0.359941502,NA,-0.019627283,0.269169315,NA,0.831866572,0.130654363,NA,-0.870758235,0.208407107,NA,-0.575862724,0.290626541,NA,0.467571831,0.923643689,NA,0.916088506,0.411025458,NA,0.612776384,1,NA,0.851680364,NA,NA,-0.537207978,NA,NA,0.274513907,-0.355291211,1,-0.658860668,0.150727514,1,0.155029501,0.170412878,NA,NA,0.167801966,NA,NA,NA,0.024744152,0.272526837,NA,0.133240189,0.005973892
dspan_time_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dspan_time_3,-0.398689695,0.430038263,-0.55069374,0.051978763,0.932593765,0.057275001,-0.123141943,0.585500029,-0.264082988,-0.111702978,0.441342081,-0.146089337,0.077844854,0.605040227,-0.152530997,0.188759346,0.742952693,-0.106219911,0.188759346,0.742952693,-0.106219911,0.019792853,NA,0.516345767,0.519903685,1,0.663204789,0.695016149,1,0.738460314,-0.696061604,1,-0.305005644,-0.173127137,1,0.171079007,0.512379232,1,0.689678365,0.694725266,NA,0.89841588,0.367030745,NA,0.612208257,0.851680364,NA,1,1,1,0.445076212,1,1,0.588609017,-0.052763398,1,0.119961673,0.063191347,1,0.555062315,0.285444939,NA,NA,0.287899571,NA,NA,NA,0.072138029,-0.149949377,NA,-1,-0.07168185
mr2d_acc_1,0.329012828,-0.022282271,-1,-0.127761373,0.145372591,1,0.116708514,0.046817025,1,0.384403688,0.256765009,1,0.399253832,0.235353188,1,0.453324282,0.228113086,1,0.453324282,0.228113086,1,-0.227703532,-0.47040376,NA,-0.079006035,0.029648669,1,0.153946587,0.590314983,1,0.213292472,-0.370882791,1,0.667172015,0.572389924,1,0.628449492,0.79746882,1,NA,NA,1,NA,NA,1,NA,NA,1,1,0.382792898,1,0.156240364,0.081179638,-1,NA,NA,1,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,-0.127795499,-0.136432218,NA,NA,0.079468778
mr2d_acc_2,0.151689976,-0.029687467,-1,0.014704642,0.352176214,1,0.122614304,0.13993654,1,0.379296499,0.00616861,1,0.390268955,0.018223484,1,0.34279293,0.06499034,1,0.34279293,0.06499034,1,-0.333186562,-0.302035803,NA,0.080784332,0.016026519,1,0.335285625,0.374522755,1,0.099087693,0.028786847,1,0.288175534,0.470832232,1,0.225220049,0.429369438,1,NA,NA,1,NA,NA,1,NA,NA,1,0.382792898,1,1,0.187529557,0.269000779,-1,NA,NA,1,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,-0.523203381,-0.722341201,NA,NA,-0.614488932
mr2d_acc_3,-0.015004036,0.999437108,-0.624886163,-0.380055849,0.703452458,-0.086230345,-0.262209825,0.977079572,-0.439691891,-0.359726964,0.641257323,-0.19568409,-0.17451087,0.489659149,-0.120519375,-0.11896483,0.253347296,-0.051767338,-0.11896483,0.253347296,-0.051767338,0.435322479,NA,0.870271047,0.726156756,1,0.887646868,0.741894689,1,0.636841642,-0.007434734,1,0.413981856,0.298612868,1,0.685480134,0.268658532,1,0.491456607,-0.429831734,NA,0.462353657,-0.370356254,NA,0.430503877,-0.537207978,NA,0.445076212,1,1,1,1,1,0.301653161,0.342625962,1,0.651377614,-0.115341382,1,0.533224134,0.720244852,NA,NA,0.722302747,NA,NA,NA,0.515482532,0.287526684,NA,1,0.287719903
mr2d_rt_1,0.394679451,-0.049796223,-1,0.460346962,-0.335807657,1,0.518549783,-0.192172776,1,-0.22347319,-0.495230342,1,-0.12484878,-0.403483865,1,-0.038731214,-0.325891548,1,-0.038731214,-0.325891548,1,-0.81699293,-0.796402777,NA,-0.465893036,-0.455680178,1,0.334009138,0.457543822,1,-0.757911358,-0.616571487,1,-0.437181364,-0.298313971,1,0.37081537,0.201029334,1,NA,NA,1,NA,NA,1,NA,NA,1,0.156240364,0.187529557,1,1,0.978962459,-1,NA,NA,1,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,0.550080164,-0.100199597,NA,NA,0.238627969
mr2d_rt_2,0.374567038,-0.029544193,-1,0.484963619,-0.264069682,1,0.523716616,-0.148808698,1,-0.213488253,-0.493494914,1,-0.141343929,-0.41813151,1,-0.085088449,-0.354759494,1,-0.085088449,-0.354759494,1,-0.861594441,-0.792177116,NA,-0.419289281,-0.487784393,1,0.405668559,0.411081069,1,-0.758487668,-0.534840414,1,-0.419554699,-0.254912942,1,0.378746752,0.181048533,1,NA,NA,1,NA,NA,1,NA,NA,1,0.081179638,0.269000779,1,0.978962459,1,-1,NA,NA,1,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,0.473176527,-0.219310555,NA,NA,0.107196187
mr2d_rt_3,0.025819381,-0.919502112,-0.401831226,-0.140595631,-0.938334858,0.190717376,-0.074699488,-0.975233334,-0.094381104,-0.580740327,-0.42204729,-0.468136031,-0.485903502,-0.274507394,-0.457802856,-0.447197168,-0.065417865,-0.382922094,-0.447197168,-0.065417865,-0.382922094,0.148680612,NA,0.203426277,0.359482073,-1,0.349877936,0.394878639,-1,0.564887663,-0.388594359,-1,-0.413347662,-0.155436291,-1,-0.044460834,0.286187937,-1,0.533568337,0.08349243,NA,0.296175933,-0.323245563,NA,0.120520642,0.274513907,NA,0.588609017,-1,-1,0.301653161,-1,-1,1,-0.563736618,1,-0.290431804,0.635942662,1,0.740455904,0.498449578,NA,NA,0.501745652,NA,NA,NA,-0.230440883,-0.326480915,NA,-1,-0.138986455
mr3d_acc_1,0.178733555,NA,-0.058037172,0.116800396,NA,-0.084968685,0.203845583,NA,-0.09525264,0.176709554,NA,0.024266056,0.164472426,NA,0.116159563,0.163284442,NA,0.178649628,0.163284442,NA,0.178649628,0.02507577,NA,0.329291489,0.23320989,NA,0.33779477,0.281291052,NA,0.155532048,0.284506324,NA,0.35487562,0.271920796,NA,0.503858781,0.084531604,NA,0.163055552,-0.204807308,NA,0.192232013,0.230987545,NA,-0.116427798,-0.355291211,NA,-0.052763398,NA,NA,0.342625962,NA,NA,-0.563736618,1,-1,0.747141503,-0.308314401,-1,-0.251803646,0.01887506,NA,NA,0.017909236,NA,NA,NA,0.26597217,-0.114240619,NA,-0.127286582,0.221039539
mr3d_acc_2,NA,NA,-1,-1,NA,-1,-1,NA,-1,-1,NA,NA,-1,NA,-1,-1,NA,-1,-1,NA,-1,-1,NA,-1,1,NA,NA,1,NA,1,-1,NA,-1,1,NA,1,1,NA,1,1,NA,NA,-1,NA,1,1,NA,1,NA,NA,1,NA,NA,1,-1,1,-1,1,1,1,1,NA,NA,1,NA,NA,NA,-1,-1,NA,NA,-1
mr3d_acc_3,-0.235340406,-0.512837145,-0.340756235,-0.299361674,0.216777492,0.003313984,-0.284210718,-0.34995662,-0.215470695,-0.184581235,0.388465484,-0.094486439,-0.076075798,0.358849043,-0.006723612,-0.029455074,0.285462666,0.055189949,-0.029455074,0.285462666,0.055189949,0.007904321,NA,0.778922427,0.354201053,1,0.639366699,0.470086723,1,0.20415413,0.061502647,1,0.666876306,-0.007231987,1,0.601112538,-0.095115793,1,0.014858631,-0.548278623,NA,0.252129613,-0.038300974,NA,0.066629389,-0.658860668,NA,0.119961673,1,1,0.651377614,1,1,-0.290431804,0.747141503,-1,1,-0.461571768,-1,-0.059765146,0.072227266,NA,NA,0.072706935,NA,NA,NA,0.707046613,0.603518071,NA,0.901127114,0.552479272
mr3d_rt_1,-0.450034002,NA,0.065921324,-0.408549048,NA,0.422500831,-0.496787566,NA,0.298256219,-0.032122146,NA,-0.357107913,-0.088025137,NA,-0.415116878,-0.210918703,NA,-0.45509649,-0.210918703,NA,-0.45509649,-0.407582745,NA,-0.166075328,-0.123917244,NA,-0.258517305,0.09485976,NA,-0.148202002,-0.333392318,NA,-0.201105201,-0.258173001,NA,-0.219065734,0.083965194,NA,0.015245639,0.153182421,NA,-0.231535522,-0.081302849,NA,-0.102023984,0.150727514,NA,0.063191347,NA,NA,-0.115341382,NA,NA,0.635942662,-0.308314401,1,-0.461571768,1,1,0.337670578,0.085573837,NA,NA,0.089400389,NA,NA,NA,-0.135758346,-0.164179229,NA,0.189341602,-0.486777738
mr3d_rt_2,NA,NA,-1,-1,NA,-1,-1,NA,-1,-1,NA,NA,-1,NA,-1,-1,NA,-1,-1,NA,-1,-1,NA,-1,1,NA,NA,1,NA,1,-1,NA,-1,1,NA,1,1,NA,1,1,NA,NA,-1,NA,1,1,NA,1,NA,NA,1,NA,NA,1,-1,1,-1,1,1,1,1,NA,NA,1,NA,NA,NA,-1,-1,NA,NA,-1
mr3d_rt_3,-0.217200885,0.479736137,-0.462023196,-0.183740103,-0.253836541,-0.066536977,-0.228715342,0.313989737,-0.350322769,-0.522566326,-0.410169786,-0.563411154,-0.447879811,-0.422205456,-0.491382372,-0.432778459,-0.393279681,-0.364610063,-0.432778459,-0.393279681,-0.364610063,0.430379142,NA,0.49388156,0.590903272,-1,0.515835274,0.494103048,-1,0.484702622,-0.239759719,-1,-0.234585448,-0.032639414,-1,0.016785435,0.293308578,-1,0.327396537,0.054141877,NA,0.284458153,-0.38554888,NA,0.457976144,0.155029501,NA,0.555062315,-1,-1,0.533224134,-1,-1,0.740455904,-0.251803646,1,-0.059765146,0.337670578,1,1,0.585745953,NA,NA,0.593252279,NA,NA,NA,-0.137542935,-0.293525589,NA,-0.99757108,-0.18406421
mlat_raw_1,0.081288499,NA,-0.27887013,-0.01455357,NA,0.01891512,0.02667548,NA,-0.168094658,-0.022568071,NA,-0.289847594,-0.126875215,NA,-0.244263944,-0.24873719,NA,-0.213935047,-0.24873719,NA,-0.213935047,0.214208682,NA,0.202409484,0.387986254,NA,0.444715084,0.345078063,NA,0.605199939,0.176581084,NA,-0.123305579,0.283862041,NA,0.471905467,0.381862829,NA,0.790702135,0.137212428,NA,0.266684284,0.36628131,NA,0.468850839,0.170412878,NA,0.285444939,NA,NA,0.720244852,NA,NA,0.498449578,0.01887506,1,0.072227266,0.085573837,1,0.585745953,1,NA,NA,0.999920857,NA,NA,NA,0.143864894,0.183271666,NA,0.225780594,0.228973253
mlat_raw_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mlat_raw_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mlat_acc_1,0.080141123,NA,-0.285044926,-0.015684826,NA,0.023862852,0.025128505,NA,-0.168172839,-0.025732332,NA,-0.298605022,-0.130576054,NA,-0.252437628,-0.252687857,NA,-0.220322624,-0.252687857,NA,-0.220322624,0.21365686,NA,0.209298724,0.391588159,NA,0.449414962,0.349776229,NA,0.60667881,0.176854507,NA,-0.121442673,0.284487904,NA,0.47089487,0.38268482,NA,0.787099461,0.13646756,NA,0.266833595,0.366560878,NA,0.467176197,0.167801966,NA,0.287899571,NA,NA,0.722302747,NA,NA,0.501745652,0.017909236,1,0.072706935,0.089400389,1,0.593252279,0.999920857,NA,NA,1,NA,NA,NA,0.146687876,0.182429015,NA,0.230469836,0.228831293
mlat_acc_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mlat_acc_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
grade_bsl_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
grade_bsl_2,0.119699064,-0.230876509,-0.286262998,0.179372035,-0.552718216,-0.384094376,0.169824013,-0.396779435,-0.412125915,0.009720996,-0.302950208,0.069896091,0.004029492,-0.309070768,0.149859737,0.011031806,-0.359400789,0.241845352,0.011031806,-0.359400789,0.241845352,-0.053900102,-0.357792174,0.612791551,0.329440498,-0.101385411,0.593588562,0.432517808,0.339860762,0.303170101,0.197547892,-0.54493199,0.39203669,0.244942755,-0.487483024,0.283098844,0.118320666,-0.044182045,-0.096190437,0.128241536,NA,0.226875969,0.3492188,NA,0.051489127,0.024744152,NA,0.072138029,-0.127795499,-0.523203381,0.515482532,0.550080164,0.473176527,-0.230440883,0.26597217,-1,0.707046613,-0.135758346,-1,-0.137542935,0.143864894,NA,NA,0.146687876,NA,NA,NA,1,0.825899567,NA,0.960558739,0.792062582
grade_bsl_3,0.00963087,-0.355237754,-0.286276496,0.144482863,-0.583991051,-0.172807268,0.079802579,-0.48917263,-0.227927721,-0.028845742,-0.011574043,-0.130158753,-0.021184674,0.017440073,-0.062334077,0.020666146,0.014942025,0.093330284,0.020666146,0.014942025,0.093330284,0.0309649,0.189807362,0.450167703,0.081720324,0.105071618,0.390974801,0.107617779,-0.090964642,0.090752036,0.331821941,-0.150668071,0.422923091,0.309198628,-0.296144156,0.103664373,0.035429049,-0.174761503,-0.408893844,0.227614276,NA,0.014511936,0.37552081,NA,-0.282166972,0.272526837,NA,-0.149949377,-0.136432218,-0.722341201,0.287526684,-0.100199597,-0.219310555,-0.326480915,-0.114240619,-1,0.603518071,-0.164179229,-1,-0.293525589,0.183271666,NA,NA,0.182429015,NA,NA,NA,0.825899567,1,NA,0.92327059,0.805066891
grade_terp_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
grade_terp_2,-0.003688029,NA,-1,0.219372469,NA,-1,0.111090232,NA,-1,-0.183076362,NA,1,-0.15648135,NA,1,-0.106894681,NA,1,-0.106894681,NA,1,-0.185897758,NA,0.997176465,0.284481754,NA,0.802955069,0.400355957,NA,-0.637306543,0.764196607,NA,0.995362999,0.71271892,NA,0.761560517,0.204685595,NA,-0.374976888,0.210228796,NA,-1,0.124495118,NA,-1,0.133240189,NA,-1,NA,NA,1,NA,NA,-1,-0.127286582,NA,0.901127114,0.189341602,NA,-0.99757108,0.225780594,NA,NA,0.230469836,NA,NA,NA,0.960558739,0.92327059,NA,1,0.693727204
grade_terp_3,0.435595005,-0.347013577,-0.124717585,0.188607992,-0.706902415,0.0652897,0.328068241,-0.525955475,0.026548737,-0.109146121,-0.368964028,-0.378363138,-0.122935414,-0.371878615,-0.383397125,-0.053073077,-0.344016481,-0.281303776,-0.053073077,-0.344016481,-0.281303776,0.215502948,-0.251138305,0.444175499,0.365413535,-0.093344252,0.421227355,0.305068501,0.224590655,0.21372265,0.296570987,-0.669105581,0.125116429,0.291712532,-0.431141591,-0.138742971,0.158020797,0.073447894,-0.340772207,0.0648536,NA,0.017091137,0.581480944,NA,-0.266258124,0.005973892,NA,-0.07168185,0.079468778,-0.614488932,0.287719903,0.238627969,0.107196187,-0.138986455,0.221039539,-1,0.552479272,-0.486777738,-1,-0.18406421,0.228973253,NA,NA,0.228831293,NA,NA,NA,0.792062582,0.805066891,NA,0.693727204,1
